GeneID	B73_Z1_1	B73_Z1_2	B73_Z1_3	B73_Z2_1	B73_Z2_2	B73_Z2_3	B73_Z3_1	B73_Z3_2	B73_Z3_3
Zm00001eb001860	7.619876	0.177271	21.229982	10.173846	0.082861	6.070862	23.360481	0.946289	18.346853
Zm00001eb001870	4.848496	16.170486	1.654117	8.268811	0.102877	0.000000	10.781043	11.350928	11.334373
Zm00001eb001880	55.354477	3.608645	17.278990	36.841591	0.388362	9.615959	28.236361	2.885274	37.996017
Zm00001eb001890	20.462696	13.243622	4.271000	25.460466	11.859937	0.029976	37.269604	18.746885	24.537148
Zm00001eb001900	10.624173	4.117273	10.079844	18.963638	3.895956	4.669935	12.374705	9.442884	14.878431
Zm00001eb001910	7.068130	9.472405	9.223335	9.162667	2.713676	1.736272	8.729724	25.838697	9.381819
Zm00001eb001920	1.755855	9.258154	56.929756	2.085264	0.772171	1.222188	10.061495	29.381834	5.322609
Zm00001eb001940	27.374634	63.194843	18.981783	73.084351	17.274815	1.069029	39.375721	15.608150	37.255028
Zm00001eb001950	0.063421	22.667519	10.332788	0.107096	2.757149	7.156015	0.222712	8.123990	0.340898
Zm00001eb001960	3.394835	11.136649	8.408659	11.604958	20.381672	0.000000	11.380142	5.501349	9.016472
Zm00001eb001970	4.073040	8.938120	2.969396	0.000000	3.872499	86.302460	4.290968	48.578648	0.000000
Zm00001eb001980	16.816769	2.501803	36.109997	14.300849	12.661461	10.606049	17.901939	0.556145	11.653397
Zm00001eb001990	0.062028	32.431534	2.724925	0.121157	11.822772	0.037872	0.341047	8.020250	1.500308
Zm00001eb002000	3.456200	16.242638	3.269299	4.349818	51.635635	49.406059	6.283450	0.000000	4.741068
Zm00001eb002010	3.612133	0.000000	12.625459	2.414443	26.993702	5.130275	5.728518	17.617399	3.739041
Zm00001eb002020	1.373529	10.580494	0.335710	1.292194	14.521597	7.033673	0.571628	1.764100	2.041640
Zm00001eb002030	5.573997	0.023067	3.359496	0.692540	9.996650	30.423864	1.310484	6.080910	1.639632
Zm00001eb002040	7.670612	3.208212	2.417294	7.414274	5.135477	0.639616	14.698238	3.158116	8.161744
Zm00001eb002050	0.000000	2.909148	0.950016	79.441780	40.711544	1.244884	0.000000	0.879390	0.000000
Zm00001eb002060	66.478546	1.082024	2.327013	10.060620	0.122714	0.039950	102.640419	1.831203	102.055397
Zm00001eb002070	5.279058	1.493847	6.554980	0.740406	13.815722	21.336208	16.285496	11.833956	13.230855
Zm00001eb002080	0.232233	6.302166	0.000000	40.820484	0.000000	1.123986	0.429464	0.000000	0.654741
Zm00001eb002090	80.135750	72.666557	81.473679	3.651268	1.308024	13.416718	34.608955	97.841522	28.048168
Zm00001eb002100	1.290781	10.141504	10.019184	5.950611	6.622503	10.679988	3.415050	11.130854	7.476244
Zm00001eb002170	3.785895	0.098413	0.206805	27.466908	0.000000	0.070409	0.000000	0.581851	9.118626
Zm00001eb002180	22.756186	66.835464	73.959343	0.561237	80.680801	0.013970	13.683389	23.084982	21.998507
Zm00001eb002190	0.312488	2.665979	3.816694	3.243012	13.746688	0.651031	18.370872	7.263656	0.803804
Zm00001eb002200	1.734406	0.000000	5.435263	0.000000	0.391303	250.345764	0.921440	7.663764	2.299572
Zm00001eb002210	0.000000	5.313256	25.323183	20.498112	34.690727	0.000000	2.273528	20.627253	0.036449
Zm00001eb002220	14.362972	21.205814	0.690134	0.907577	7.272395	0.000000	0.108973	0.684027	30.862831
Zm00001eb002240	0.356394	0.495863	1.385624	19.139364	5.692144	0.000000	30.293915	1.167477	1.825521
Zm00001eb002250	3.801985	0.458585	0.000000	9.596536	0.000000	0.000000	0.733944	0.000000	31.677296
Zm00001eb002260	6.919270	0.000000	18.716854	0.000000	0.000000	0.000000	9.696965	38.610409	10.067592
Zm00001eb002310	0.927013	17.283007	1.320380	1.468335	1.527099	0.524954	10.353166	1.505218	0.455040
Zm00001eb002320	460.872650	0.959115	6.748394	247.300461	0.000000	168.304016	0.023297	10.381402	221.294937
Zm00001eb002330	0.000000	14.253306	7.958417	0.000000	21.920492	0.000000	0.896417	9.755876	0.689137
Zm00001eb002340	0.000000	6.763851	0.017515	0.000000	0.965665	37.020893	240.821106	0.057459	35.216385
Zm00001eb002350	0.000000	0.512644	0.571815	0.000000	0.046487	12.233267	0.000000	0.030878	0.000000
